FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
12522,9542,3518,173,456,146,29422,15340,6049,183,429,68,35,162
28578,1783,0,116,526,383,105073,3810,344,94,240,214,33,162
27593,6374,0,191,559,270,72678,12767,1551,90,241,390,43,162
22058,1449,6535,311,784,238,55463,3783,6069,154,927,201,36,162
28325,2861,575,58,418,143,78829,7050,791,0,356,170,39,162
16281,149,3650,232,366,297,63756,1576,5019,119,185,238,23,162
16930,1323,2726,214,426,19,64881,3615,4155,204,279,0,22,162
19312,2463,3783,480,469,82,73865,3670,4291,409,350,281,41,162
35837,4604,5331,365,354,200,62990,7371,4123,263,280,78,47,162
53020,12494,6492,400,541,261,106836,15709,7569,365,379,369,91,162
18531,1932,10532,639,499,161,57098,4770,14226,642,312,102,26,162
22909,4748,4182,406,358,332,97604,12519,7097,495,155,319,20,162
39273,5140,718,0,798,82,92317,7506,3273,81,358,111,73,162
22969,4872,4987,569,238,126,63749,10867,7493,509,99,74,34,162
21668,3616,8539,321,442,138,52018,7431,10644,350,388,146,40,162
38772,7335,10198,0,1136,123,46518,6906,9910,353,719,200,83,162
28958,3632,2034,187,580,0,69168,5024,4321,254,244,0,37,162
23090,2981,14944,867,357,197,59299,4073,13148,570,382,133,46,162
7917,5675,2514,222,475,150,39474,17513,5473,164,454,33,16,162
20580,3391,7293,302,573,26,51414,6480,8885,283,328,166,32,162
22199,5083,4607,468,400,194,59296,10321,6514,282,382,98,34,162
17604,16008,2442,185,127,222,31526,22959,3707,154,152,154,35,162
12450,2383,2887,355,312,89,46741,7404,4575,260,143,183,32,162
48722,9527,18367,1139,375,114,107437,17188,15389,803,313,132,56,163
15904,5051,10450,648,577,0,31113,12089,9804,486,373,27,37,163
25307,0,9792,823,192,282,70607,721,12190,728,106,231,28,163
27281,8405,3339,468,0,23,41638,14168,3273,209,20,148,65,163
16702,5069,8358,456,199,108,44833,9871,11950,431,61,31,28,163
30242,2594,9845,595,0,92,50758,5065,6840,352,135,293,59,163
24573,4294,12091,590,123,52,45634,7294,8234,496,105,62,39,163
22034,2447,3824,456,514,31,54158,5557,3820,243,528,123,44,163
58873,4650,12110,725,183,213,98057,5862,6606,449,437,251,82,163
24503,2076,4629,246,690,13,50853,4895,4289,215,472,113,39,163
13462,7723,3233,315,279,0,57416,20825,5514,318,44,0,20,163
32655,1623,2343,208,409,244,74619,3236,4181,114,274,201,30,163
12557,3464,3813,244,339,237,41506,8565,10025,450,289,101,32,163
10504,3877,6913,473,366,237,49882,10699,10797,513,299,212,18,163
21320,4806,0,0,528,129,45435,8568,0,2,287,320,45,163
19330,1491,6385,415,265,168,58982,5197,9224,375,106,172,22,163
28199,3337,16299,772,498,64,54178,6604,17678,829,387,105,45,163
16609,6099,8331,527,540,188,35453,15226,9357,330,218,275,34,163
19730,2485,0,223,573,338,48536,5674,140,124,388,269,31,163
42288,2023,6220,450,241,125,85732,3412,6178,229,309,151,41,163
18757,330,4335,510,279,226,73000,1940,6700,541,43,120,25,163
51407,14449,19948,1528,340,382,41015,14306,9558,408,253,197,123,163
31731,10823,8117,470,340,28,97922,22732,8239,431,95,180,42,163
24227,2080,8403,494,153,111,81561,6532,11059,578,0,118,28,163
28981,3942,13050,590,211,156,60278,4342,9358,441,199,173,53,163
17277,5836,2312,166,202,262,36227,11701,3943,185,94,172,43,163
10549,3642,2801,331,316,44,38089,9621,4304,241,93,0,21,163
46529,12483,9656,810,711,0,53564,15257,8698,449,350,49,71,163
21071,6543,7638,453,13,374,30035,12160,5328,325,0,203,50,163
33644,2788,6270,158,342,149,66071,4142,6971,259,241,225,55,163
10414,6161,9255,489,172,217,30856,11735,9007,400,0,159,29,163
53656,9781,2693,383,351,94,132036,20678,4270,450,200,128,33,163
16811,3961,3387,385,232,353,44421,7607,5516,360,235,324,47,163
12801,452,1799,297,528,134,67532,2168,3607,292,427,16,15,163
13786,2028,4617,396,331,138,54576,5394,6427,328,234,75,23,163
29734,3754,9605,643,408,73,56551,4925,8046,380,431,220,60,163
8567,4989,0,179,300,117,29372,14265,0,90,90,111,22,163
23313,2261,7136,421,408,129,55192,5906,8845,383,235,184,35,163
15408,5921,950,252,262,403,45286,13645,1924,256,126,408,24,164
19400,2450,4092,368,190,429,55301,5370,6543,293,188,316,27,164
6610,2049,2630,191,252,100,26297,12986,4040,85,95,0,19,164
5089,4044,0,102,382,123,31819,16404,858,0,190,0,12,164
21477,21695,1227,234,603,388,68946,48387,2661,147,410,414,33,164
35440,1664,6453,457,453,0,105140,3178,8771,573,202,0,33,164
16795,3011,2393,255,595,0,71101,8741,4362,231,507,102,24,164
22363,516,6765,513,391,214,76815,2490,9643,520,409,126,23,164
4936,3980,180,220,298,261,30175,15870,194,156,66,225,12,164
9806,2072,0,181,318,222,48988,6926,7,85,314,281,16,164
69365,10401,20489,1432,964,0,93850,13777,13118,824,314,73,61,164
10631,5510,3767,610,684,217,31152,13285,4236,467,653,200,44,164
13093,0,0,382,480,101,53344,300,0,188,381,45,34,164
10211,1273,59,105,298,150,52486,4506,175,0,81,44,16,164
35341,136,11601,758,556,5,116723,1334,16622,943,356,181,31,164
22065,3517,13506,737,567,117,86501,9491,18941,875,418,107,21,164
12192,10143,7941,465,331,7,36363,25412,10894,435,95,76,28,164
50616,1028,0,262,565,295,108524,2184,0,148,299,202,39,164
14589,5617,8303,633,268,0,40596,11072,7624,422,102,0,39,164
21235,2360,8872,547,394,205,58156,6372,12668,627,235,125,36,164
16365,2209,887,297,417,335,60507,5067,1835,224,146,327,23,164
32092,2410,11050,955,493,0,88842,5567,10646,711,226,93,45,164
59596,9178,20199,1435,639,380,106277,12017,21601,1270,293,319,78,164
22540,15942,5040,460,195,185,52219,22185,4063,313,406,336,53,164
24768,304,323,244,162,123,97421,1383,603,132,11,62,22,164
51361,3096,8094,727,0,326,110333,4723,9830,534,48,321,50,164
18191,3943,3282,297,268,88,66419,8498,4721,274,245,32,28,164
12850,2003,5460,445,355,131,44926,6340,9871,563,120,172,24,164
10913,2602,567,158,195,325,46691,8042,901,73,0,290,19,164
36921,6484,20765,1121,328,267,67735,6644,17478,902,326,159,64,164
19784,314,9036,639,325,155,65294,2202,12177,718,204,256,41,164
21105,4809,5086,365,297,247,47683,9263,6927,292,104,129,35,164
9691,9965,0,37,331,355,29593,24348,0,51,195,433,27,164
19866,1799,1351,290,357,183,44784,6598,1801,149,230,369,37,164
18826,0,9673,693,394,0,55275,737,14880,831,195,42,32,164
33301,14647,4403,396,280,228,82296,27236,8287,431,235,286,58,164
31924,5499,9183,785,268,0,56106,8484,4769,365,153,195,72,164
35862,4097,21231,1402,220,549,55090,3994,12075,654,147,272,76,164
12295,3225,3075,400,405,301,42272,9302,5567,430,152,201,21,164
20393,1799,4175,444,262,141,51776,4589,6143,357,273,115,39,164
20474,8360,1621,356,516,359,54534,18592,5777,263,469,257,27,164
26294,0,0,0,310,0,61918,1068,0,0,238,0,47,164
6450,6464,2341,255,256,161,22807,18136,3540,135,47,131,21,165
17932,3228,1265,145,235,156,61516,8110,4357,341,57,129,22,165
31757,14579,8420,578,711,397,42470,24535,5954,357,337,246,81,165
13937,1898,12222,560,588,132,62249,5334,18792,738,595,91,19,165
22491,763,2124,93,382,176,62388,3349,5285,280,207,119,50,165
22608,8851,0,173,361,110,79086,22253,0,114,89,138,24,165
11394,10706,6617,575,117,0,42533,26034,10288,645,0,0,22,165
62706,19410,12774,665,858,110,92993,32492,14830,575,622,268,56,165
35761,9045,1979,45,282,0,60516,14904,3728,163,114,127,49,165
49107,3602,30645,1556,133,153,55334,4649,13780,737,251,227,106,165
24611,2147,11939,492,96,311,57742,4441,11210,478,52,308,43,165
33929,2870,4791,77,0,335,88156,4928,4123,134,136,155,54,165
25803,200,0,166,228,304,71746,2164,1238,137,245,201,37,165
45814,2955,10271,746,489,183,83412,4532,7167,505,320,324,46,165
39434,657,0,92,418,111,107673,2996,0,62,316,157,54,165
31072,3768,16590,994,540,108,49355,5259,7507,423,298,309,65,165
11920,0,0,373,423,55,42899,118,53,293,164,53,25,165
27036,6309,6203,350,556,137,50597,13218,5501,313,438,173,58,165
14783,3674,2565,288,493,168,46045,8688,3662,192,419,187,23,165
19020,6719,6569,371,376,358,50046,12475,8984,475,375,220,50,165
