FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
20143,1682,487,0,0,414,49756,3898,530,0,0,394,35,1112
5123,1724,245,219,420,240,28301,8121,439,169,333,242,13,1113
33775,18778,19,343,402,388,41025,26044,396,201,411,411,89,1113
5221,3096,359,302,274,319,16677,7800,420,226,153,310,27,1113
95697,2626,439,565,477,0,184250,5567,526,284,291,218,72,1115
9893,2007,70,190,192,228,24923,5666,159,72,10,305,31,1525
170756,9736,409,110,409,359,457235,20887,409,79,155,238,51,1525
46686,22473,904,532,354,395,90357,37024,714,236,423,352,52,1527
6745379,1067440,10911,6506,7850,0,495773,74106,663,300,555,286,1001,1530
22186,6801,156,176,679,225,37801,10849,171,77,280,205,56,1532
53044,16525,712,532,0,0,102743,28045,305,204,122,122,70,1533
45857,40761,248,175,291,232,70150,62248,167,182,216,221,57,1534
60097,16908,0,959,412,70,35242,7898,161,215,241,233,171,1538
107982,16263,0,665,910,0,58336,7815,227,170,382,167,188,1541
39571,821,205,279,312,114,126352,2523,214,159,98,83,25,1545
5349,1647,220,75,0,267,15848,6818,151,111,0,233,27,1545
404430,60960,180,1361,1244,270,202344,22760,252,306,413,344,197,1546
33195,1167,428,281,0,105,82954,1999,429,115,0,112,53,1546
59908,19265,0,522,909,0,33489,9231,301,131,337,261,150,1547
54984,3441,459,338,930,94,142141,5752,523,211,605,211,57,1547
18210,3151,822,0,256,297,29765,5142,512,0,153,264,44,1550
88299,18327,737,0,369,0,52245,8081,410,144,468,203,148,1551
7583,2001,159,279,480,219,24360,5341,158,163,379,154,20,1552
29292,7431,110,0,61,564,36948,7058,284,93,236,452,92,1555
74064,56163,1973,781,1586,652,172881,89728,1964,589,1504,709,44,1555
19856,2630,266,373,627,241,43825,4824,355,194,536,193,42,1557
62122,1720,773,302,304,0,126159,3092,693,189,209,178,71,1559
28470,1151,659,213,339,165,81872,1713,663,246,435,139,40,1559
20456,1539,502,187,382,0,55185,3130,404,166,439,121,36,1560
21960,1040,276,208,399,0,62586,1824,281,85,351,0,32,1560
12788,3794,0,0,339,0,26818,5467,9,0,414,0,41,1564
30527,4690,558,152,481,174,82011,8218,506,89,348,221,33,1564
7339,3839,14,329,240,362,18970,7048,54,205,100,423,29,1564
23318,10530,227,173,523,0,40839,17432,345,187,332,39,50,1566
22742,3411,363,356,826,297,67088,6232,262,175,699,331,36,1567
30230,4658,0,798,909,308,40196,6551,399,358,644,304,82,1571
7158,670,186,204,273,55,41478,4064,192,131,22,0,13,1573
44533,2740,326,426,423,132,81040,3938,412,167,376,482,65,1574
34526,22765,223,134,471,382,61044,36500,413,105,316,291,69,1575
39506,15214,17,95,85,105,48079,12933,301,94,176,330,81,1580
18077,1145,73,0,211,332,33990,5192,192,144,182,391,41,1582
20546,2517,235,96,190,35,29612,5186,325,45,127,77,51,1582
10720,2198,277,188,472,59,27964,5393,413,92,241,48,36,1582
31803,203,606,270,445,364,85515,2498,486,256,219,257,57,1583
9330,3114,192,193,451,376,25200,5447,180,157,317,372,31,1590
64554,3202,144,125,108,192,134298,5150,310,148,101,144,53,1592
3136,2327,306,104,312,108,11032,7992,313,124,34,51,18,1593
22048,1759,56,303,436,102,63871,3569,12,163,315,209,35,1593
43743,8503,306,429,306,149,110526,16394,198,169,284,125,49,1595
9514,1376,56,158,394,141,32849,5598,9,90,254,69,20,1595
