FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
65748,2543,7742,618,471,259,127668,5806,7011,404,358,168,69,1444
18148,3958,309,418,772,68,42084,6040,448,269,490,176,41,1446
8982,7572,7009,448,310,194,19626,15377,7915,330,303,161,27,1449
32534,2448,402,99,256,437,75588,5983,403,59,179,421,46,1453
18217,1294,208,117,505,101,59835,3820,226,74,376,181,44,1455
53463,3460,0,244,0,192,123207,5685,0,173,113,169,59,1773
37436,17501,223,423,112,225,68775,32523,273,249,70,106,47,1775
45061,3557,283,211,297,259,105523,5733,201,187,166,356,51,1784
34323,67914,118,0,237,152,43177,58478,239,110,220,271,80,1787
30249,1740,28,0,325,216,56802,5469,190,0,359,136,55,1787
39381,23616,240,19,124,68,68789,31183,206,19,84,267,46,1787
14787,36296,0,104,265,191,34092,49192,0,0,90,236,34,1787
3225,2141,162,61,468,82,12619,6384,193,0,288,65,16,1788
3812,12453,186,167,228,147,10755,35693,205,82,80,139,22,1788
5835,1937,42,185,267,185,14767,14109,207,123,400,147,33,1798
6392,2412,425,68,595,11,13433,6181,388,142,483,86,37,1800
122848,21908,0,516,253,665,76998,9924,346,157,455,424,160,1801
18026,899,1907,253,375,332,59732,2941,2073,229,364,379,36,1803
13956,570,337,172,469,46,68855,3092,328,86,509,4,17,1804
11644,3834,0,0,6,364,19106,8153,8,24,0,452,40,1804
4739,2928,90,10,367,97,12113,5929,443,0,195,34,29,1804
5625,4602,684,181,265,0,17867,10173,692,95,95,115,31,1807
856060,119244,0,0,1034,0,308963,35164,391,134,547,182,284,1811
31307,6599,0,193,144,98,98879,14381,316,171,1,188,28,1813
22601,8310,433,331,547,207,28600,10279,508,155,735,152,66,1816
32659,3517,390,43,408,226,62846,5266,544,83,408,265,43,1817
17008,774,5633,442,588,292,55585,1960,6207,363,489,202,34,1820
31338,9094,4534,714,93,0,51421,12975,4029,242,121,183,76,1822
45614,2665,119,0,219,247,115229,5377,203,89,144,338,49,1830
36527,2827,5225,504,213,401,89777,4448,4887,325,347,480,56,1832
46257,1401,4670,584,243,541,81978,1551,5113,320,158,359,65,1836
12469,5534,0,436,475,211,12401,7591,67,235,448,201,92,1838
54170,4517,97,417,1202,613,109165,6520,297,222,645,327,61,1841
19724,14725,0,247,288,0,21299,21843,178,155,170,211,66,1844
38870,9683,829,300,301,288,81481,11642,505,248,251,427,49,1845
9162,5220,416,219,244,100,21633,5945,292,223,227,98,45,1845
4462,4015,22,178,408,0,10506,7987,8,97,197,81,27,1845
