FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
9471,2134,291,207,307,89,39253,4825,244,137,109,177,27,1488
143064,28356,0,0,139,644,65071,8545,313,80,245,412,181,1488
59396,8224,677,22,813,0,155307,11319,574,56,617,203,53,1490
69631,5576,1122,214,435,252,165800,10027,989,93,259,139,40,1493
21118,2312,0,264,96,247,41254,4237,87,155,0,225,35,1495
20324,5627,1491,256,453,0,35310,7280,928,171,244,60,53,1498
12816,1355,153,105,142,234,47990,3641,246,62,0,381,23,1500
10039,5340,273,123,196,123,31604,11924,329,96,294,169,23,1502
20033,2878,0,409,330,311,43732,4102,172,241,397,287,43,1503
6827,2609,0,27,490,0,14459,7053,153,37,190,0,38,1504
17240,1996,0,320,562,188,46714,3263,78,146,230,374,38,1505
7699,1412,282,208,372,122,42010,5196,458,147,322,0,14,1508
7564,3885,487,258,450,62,29655,9625,760,183,243,191,19,1508
8571,2068,136,0,360,97,23861,5375,105,0,175,1,25,1511
170976,64307,285,0,432,240,367757,103134,563,78,269,259,87,1511
33342,2490,717,287,369,371,78221,6319,593,112,134,223,40,1512
12237,2885,819,133,759,416,37808,5252,711,73,835,435,29,1513
22071,2466,0,182,538,194,47685,2822,171,150,669,227,62,1514
7419,1332,13,107,225,186,41083,4453,12,97,0,110,15,1514
154668,61428,3509,914,1976,361,186414,72831,2161,671,727,326,104,1515
10638,1515,209,125,157,164,31023,5533,211,13,103,127,27,1516
12837,2476,403,241,645,280,32263,5100,294,172,450,373,32,1517
4953,1647,168,110,504,111,24724,5751,353,11,389,0,16,1518
9072,2293,328,128,370,68,29929,5449,253,99,332,0,21,1518
23200,5154,359,0,0,0,38839,5962,319,55,306,125,79,1519
37826,2232,1234,285,837,203,81410,4776,980,171,387,301,51,1519
17040,5055,1104,575,259,319,29842,6326,607,250,245,279,43,1520
5122,2200,328,184,243,43,21216,6960,416,81,99,138,19,1523
6057,3412,455,275,354,122,24389,8297,625,172,347,11,23,1523
2534,938,310,128,384,198,13065,6964,566,13,301,200,14,1525
22546,1526,910,81,483,61,61283,5065,917,116,440,152,35,1527
10100,1173,73,279,348,231,35346,5192,203,291,142,226,21,1529
8605,2224,316,226,342,58,31926,6300,471,155,176,236,19,1530
14405,3271,554,198,66,283,23528,5460,611,113,68,223,52,1534
8194,4995,258,275,334,134,18980,5560,352,88,397,80,45,1535
3763,1271,223,176,105,153,19068,5948,140,47,0,73,15,1535
12103,3116,229,190,583,138,29358,5367,420,64,265,222,33,1536
4701,2408,403,219,259,286,23473,7125,651,189,0,285,15,1536
9880,1478,42,148,264,140,39930,4646,154,150,266,129,21,1536
9913,1650,286,21,408,131,35908,5171,486,0,213,118,21,1539
94363,6331,1175,926,1011,652,199225,8407,820,392,728,393,64,1539
7414,1422,0,235,436,177,38320,5091,0,161,274,254,15,1540
